MapCode,TH_Taxa,FIRE_Taxa,INV_Taxa,OVG_Taxa,TH_Taxa_km2,Nat2022km2,pro_FIRE,pro_INV,pro_OVG,EOOkm2,AOO1prc,Qualify,B1iii,B2iii
SVl16,7,0,0,3,0.0031089,2251.6,0,0,0.428571429,5667.109149,58,0,LC,LC
SVl17,3,0,0,0,0.07057163,42.51,0,0,0,2069.040193,14,0,LC,LC
SVl18,5,0,0,0,0.005778142,865.33,0,0,0,2695.829502,33,0,LC,LC
SVl19,1,0,0,0,0.01237777,80.79,0,0,0,777.2303167,8,0,LC,LC
SVl2,2,0,0,0,0.010882577,183.78,0,0,0,1350.443839,9,0,LC,LC
SVl20,3,0,0,0,0.00462606,648.5,0,0,0,5199.580571,48,0,LC,LC
SVl21,1,0,0,0,0.003722592,268.63,0,0,0,4177.630137,30,0,LC,LC
SVl22,2,0,0,0,0.000543387,3680.62,0,0,0,14455.00773,124,0,LC,LC
SVl23,12,0,0,0,0.002104905,5700.97,0,0,0,27037.38453,153,0,LC,LC
SVl24,0,0,0,0,0,182.19,0,0,0,922.5778268,16,0,LC,LC
SVl25,6,0,0,0,0.012689819,472.82,0,0,0,1975.171934,24,0,LC,LC
SVl26,3,0,0,0,0.005878088,510.37,0,0,0,1465.706484,21,0,LC,LC
SVl27,2,0,0,0,0.004686804,426.73,0,0,0,926.8109621,14,0,LC,LC
SVl3,10,0,0,0,0.000671951,14882.04,0,0,0,48356.32851,319,0,LC,LC
SVl4,3,0,0,0,0.001524344,1968.06,0,0,0,7834.873993,62,0,LC,LC
SVl5,0,0,0,0,0,2975.55,0,0,0,7717.28972,69,0,LC,LC
SVl6,0,0,0,0,0,757.7,0,0,0,5300.610784,32,0,LC,LC
SVl7,0,0,0,0,0,286.22,0,0,0,6210.888853,35,0,LC,LC
SVl8,0,0,0,0,0,1748.03,0,0,0,9479.190325,68,0,LC,LC
SVl9,0,0,0,0,0,1115.77,0,0,0,8700.793382,66,0,LC,LC
SVmp1,0,0,0,0,0,8133.05,0,0,0,13632.69887,137,0,LC,LC
SVmp2,0,0,0,0,0,2718.2,0,0,0,16194.61039,108,0,LC,LC
SVmp3,0,0,0,0,0,276.89,0,0,0,821.9491823,11,0,LC,LC
SVmp4,0,0,0,0,0,2800.27,0,0,0,4734.15714,56,0,LC,LC
SVmp5,0,0,0,0,0,4722.12,0,0,0,12575.59988,105,0,LC,LC
SVmp6,0,0,0,0,0,2431.56,0,0,0,7578.342642,58,0,LC,LC
SVmp7,0,0,0,0,0,2027.63,0,0,0,4433.501829,46,0,LC,LC
SVmp8,0,0,0,0,0,310.31,0,0,0,2389.550753,25,0,LC,LC
SVs1,0,0,0,0,0,1970.77,0,0,0,5121.834748,56,0,LC,LC
SVs2,0,0,0,0,0,1631.02,0,0,0,8207.216277,73,0,LC,LC
SVs3,0,0,0,0,0,1014.45,0,0,0,9073.263412,55,0,LC,LC
SVs4,0,0,0,0,0,325.9,0,0,0,4283.35206,25,0,LC,LC
SVs5,0,0,0,0,0,250.32,0,0,0,7395.012058,55,0,LC,LC
SVs6,0,0,0,0,0,7036.57,0,0,0,64156.40512,297,0,LC,LC
SVs7,0,0,0,0,0,4782.42,0,0,0,32535.59538,194,0,LC,LC
SVs8,0,0,0,0,0,848.72,0,0,0,11358.69763,57,0,LC,LC
