"","T_MAPCODE","RoD","B1i_rod","B2i_rod","B1i_inv","B2i_inv","B1iii_sp","B2iii_sp","B1_fin","B2_fin","B1_source","B2_source"
"86","FOz6",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"87","FOz7",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"88","FOz8",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"89","FOz9",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"90","FFa1",0.8,"CR","EN","LC","LC","LC","LC","CR","EN","B1i_rod","B2i_rod"
"91","FFa2",0.9,"EN","EN","LC","LC","EN","EN","EN","EN","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"92","FFa3",0.9,"EN","VU","LC","LC","EN","VU","EN","VU","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"93","FFa4",1.9,"CR","EN","LC","LC","CR","EN","CR","EN","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"94","FFb1",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"95","FFb2",0,"LC","LC","LC","LC","EN","VU","EN","VU","B1iii_sp","B2iii_sp"
"96","FFb3",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"97","FFb4",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"98","FFb5",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"99","FFb6",0.5,"EN","EN","LC","LC","LC","LC","EN","EN","B1i_rod","B2i_rod"
"100","FFc1",0.6,"EN","VU","LC","LC","EN","VU","EN","VU","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"101","FFd1",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"102","FFd10",0.7,"CR","EN","LC","LC","LC","LC","CR","EN","B1i_rod","B2i_rod"
"103","FFd11",0.2,"LC","LC","CR","EN","LC","LC","CR","EN","B1i_inv","B2i_inv"
"104","FFd2",0.8,"EN","VU","LC","LC","LC","LC","EN","VU","B1i_rod","B2i_rod"
"105","FFd3",0.3,"LC","LC","LC","LC","EN","VU","EN","VU","B1iii_sp","B2iii_sp"
"106","FFd4",0.4,"EN","VU","EN","VU","EN","VU","EN","VU","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"107","FFd5",1.5,"CR","EN","CR","EN","CR","EN","CR","EN","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"108","FFd6",0.5,"CR","EN","LC","LC","CR","EN","CR","EN","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"109","FFd7",0.3,"LC","LC","LC","LC","CR","EN","CR","EN","B1iii_sp","B2iii_sp"
"110","FFd8",0.2,"LC","LC","LC","LC","CR","EN","CR","EN","B1iii_sp","B2iii_sp"
"111","FFd9",0.3,"LC","LC","LC","LC","EN","VU","EN","VU","B1iii_sp","B2iii_sp"
"112","FFf1",0.5,"EN","VU","LC","LC","EN","VU","EN","VU","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"113","FFf2",0.3,"LC","LC","LC","LC","CR","EN","CR","EN","B1iii_sp","B2iii_sp"
"114","FFg1",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"115","FFg2",0.4,"EN","VU","LC","LC","EN","VU","EN","VU","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"116","FFg3",0.5,"CR","EN","LC","LC","CR","EN","CR","EN","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"117","FFg4",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"118","FFg5",0.8,"CR","EN","CR","EN","LC","LC","CR","EN","B1i_rod, B1i_inv","B2i_rod, B2i_inv"
"119","FFh1",0.4,"CR","EN","LC","LC","LC","LC","CR","EN","B1i_rod","B2i_rod"
"120","FFh10",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"121","FFh11",0.4,"CR","CR","LC","LC","LC","LC","CR","CR","B1i_rod","B2i_rod"
"122","FFh2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"123","FFh3",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"124","FFh4",0.4,"EN","VU","LC","LC","EN","VU","EN","VU","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"125","FFh5",0.4,"EN","EN","LC","LC","EN","EN","EN","EN","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"126","FFh6",1,"CR","EN","LC","LC","CR","EN","CR","EN","B1i_rod, B1iii_sp","B2i_rod, B2iii_sp"
"127","FFh7",0.3,"LC","LC","LC","LC","CR","EN","CR","EN","B1iii_sp","B2iii_sp"
"128","FFh8",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"129","FFh9",0.6,"EN","VU","EN","VU","LC","LC","EN","VU","B1i_rod, B1i_inv","B2i_rod, B2i_inv"
"130","FFl1",0.1,"LC","LC","CR","EN","CR","EN","CR","EN","B1i_inv, B1iii_sp","B2i_inv, B2iii_sp"
"131","FFl2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"132","FFl3",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"133","FFq1",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"134","FFq2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"135","FFq3",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"136","FFq4",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"137","FFq5",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"138","FFq6",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"139","FFs1",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
