"","LC","YEAR","BIOME","T_MAPCODE","km2"
"236","nat",1750,"Grassland","Gh5",4949.5984
"237","nat",1750,"Grassland","Gh6",16012.9004
"238","nat",1750,"Grassland","Gh7",1571.9508
"239","nat",1750,"Grassland","Gh8",80.4668
"240","nat",1750,"Grassland","Gh9",7074.3048
"241","nat",1750,"Grassland","Gm1",4268.0984
"242","nat",1750,"Grassland","Gm10",1093.2008
"243","nat",1750,"Grassland","Gm11",10508.8704
"244","nat",1750,"Grassland","Gm12",12772.3408
"245","nat",1750,"Grassland","Gm13",3927.052
"246","nat",1750,"Grassland","Gm14",3750.41
"247","nat",1750,"Grassland","Gm15",4216.8496
"248","nat",1750,"Grassland","Gm16",9654.236
"249","nat",1750,"Grassland","Gm17",1291.3936
"250","nat",1750,"Grassland","Gm19",1380.852
"251","nat",1750,"Grassland","Gm2",3737.0288
"252","nat",1750,"Grassland","Gm20",20.3384
"253","nat",1750,"Grassland","Gm21",1551.0772
"254","nat",1750,"Grassland","Gm22",939.1744
"255","nat",1750,"Grassland","Gm23",1373.9432
"256","nat",1750,"Grassland","Gm24",10.0012
"257","nat",1750,"Grassland","Gm25",430.6344
"258","nat",1750,"Grassland","Gm26",260.5796
"259","nat",1750,"Grassland","Gm27",268.0664
"260","nat",1750,"Grassland","Gm28",93.8756
"261","nat",1750,"Grassland","Gm29",523.222
"262","nat",1750,"Grassland","Gm3",15063.9784
"263","nat",1750,"Grassland","Gm30",3858.6324
"264","nat",1750,"Grassland","Gm31",1048.1812
"265","nat",1750,"Grassland","Gm4",14254.748
"266","nat",1750,"Grassland","Gm5",3469.5508
"267","nat",1750,"Grassland","Gm6",9891.6532
"268","nat",1750,"Grassland","Gm7",30.0484
"269","nat",1750,"Grassland","Gm8",14492.9396
"270","nat",1750,"Grassland","Gm9",1313.2256
"271","nat",1750,"Grassland","Gs1",539.2132
"272","nat",1750,"Grassland","Gs10",10944.6128
"273","nat",1750,"Grassland","Gs11",2342.158
"274","nat",1750,"Grassland","Gs12",8728.1252
"275","nat",1750,"Grassland","Gs13",492.96
"276","nat",1750,"Grassland","Gs14",5281.672
"277","nat",1750,"Grassland","Gs15",6137.2616
"278","nat",1750,"Grassland","Gs16",3606.2944
"279","nat",1750,"Grassland","Gs17",4242.1876
"280","nat",1750,"Grassland","Gs18",1433.932
"281","nat",1750,"Grassland","Gs19",3024.2364
"282","nat",1750,"Grassland","Gs2",1545.4912
"283","nat",1750,"Grassland","Gs20",6280.594
"284","nat",1750,"Grassland","Gs3",1742.278
"285","nat",1750,"Grassland","Gs4",7440.426
"286","nat",1750,"Grassland","Gs6",5227.4684
"287","nat",1750,"Grassland","Gs7",4653.6068
"288","nat",1750,"Grassland","Gs8",2862.4156
"289","nat",1750,"Grassland","Gs9",6972.2336
"290","nat",1750,"IOCB","CB1",2355.4844
"291","nat",1750,"IOCB","CB2",1122.1012
"292","nat",1750,"IOCB","CB3",4141.8068
"293","nat",1750,"IOCB","CB4",1299.9024
"294","nat",1750,"IOCB","CB5",1650.386
"295","nat",1750,"IOCB","CB6",1121.1792
"296","nat",1750,"NOTVEG","NOTVEG",989.6556
"297","nat",1750,"Nama-Karoo","NKb1",4671.0664
"298","nat",1750,"Nama-Karoo","NKb2",607.488
"299","nat",1750,"Nama-Karoo","NKb3",41251.818
"300","nat",1750,"Nama-Karoo","NKb4",2677.2
"301","nat",1750,"Nama-Karoo","NKb5",8634.3688
"302","nat",1750,"Nama-Karoo","NKb6",41250.6684
"303","nat",1750,"Nama-Karoo","NKl1",20205.9452
"304","nat",1750,"Nama-Karoo","NKl2",8321.3632
"305","nat",1750,"Nama-Karoo","NKl4",742.6932
"306","nat",1750,"Nama-Karoo","NKu1",17149.5756
"307","nat",1750,"Nama-Karoo","NKu2",11734.2756
"308","nat",1750,"Nama-Karoo","NKu3",42273.7272
"309","nat",1750,"Nama-Karoo","NKu4",49834.4344
"310","nat",1750,"Savanna","SVcb1",6645.4948
"311","nat",1750,"Savanna","SVcb10",1442.1488
"312","nat",1750,"Savanna","SVcb11",3285.6364
"313","nat",1750,"Savanna","SVcb12",17384.092
"314","nat",1750,"Savanna","SVcb13",2066.3028
"315","nat",1750,"Savanna","SVcb14",759.892
"316","nat",1750,"Savanna","SVcb15",7198.2152
"317","nat",1750,"Savanna","SVcb16",12074.1312
"318","nat",1750,"Savanna","SVcb17",8901.2312
"319","nat",1750,"Savanna","SVcb18",6496.36
"320","nat",1750,"Savanna","SVcb19",12012.4968
"321","nat",1750,"Savanna","SVcb2",1107.4924
