"","T_MAPCODE","A3_fin","A3_source","A3_prclost","A2b_fin","A2b_source","A2b_prclost50"
"261","Gm23","LC","A3_nat",45,"LC","A2b",7
"262","Gm24","LC","A3_nat",7,"LC","A2b",1
"263","Gm25","EN","A3_nat",76,"VU","A2b",32
"264","Gm26","LC","A3_nat",7,"LC","A2b",2
"265","Gm27","LC","A3_nat",3,"LC","A2b",1
"266","Gm28","LC","A3_nat",2,"LC","A2b",1
"267","Gm29","LC","A3_nat",4,"LC","A2b",1
"268","Gm3","VU","A3_nat",60,"LC","A2b",21
"269","Gm30","LC","A3_nat, A3_mpl",22,"LC","A2b",17
"270","Gm31","LC","A3_nat, A3_mpl",39,"LC","A2b",12
"271","Gm4","LC","A3_nat",48,"LC","A2b",13
"272","Gm5","LC","A3_nat",29,"LC","A2b",4
"273","Gm6","LC","A3_nat",45,"LC","A2b",15
"274","Gm7","LC","A3_nat",8,"LC","A2b",3
"275","Gm8","VU","A3_nat",62,"LC","A2b",23
"276","Gm9","VU","A3_nat",67,"VU","A2b",33
"277","Gs1","LC","A3_nat, A3_kzn",44,"LC","A2b",27
"278","Gs10","LC","A3_nat",31,"LC","A2b",13
"279","Gs11","VU","A3_nat",56,"LC","A2b",25
"280","Gs12","LC","A3_nat",46,"LC","A2b",17
"281","Gs13","EN","A3_nat",70,"VU","A2b",32
"282","Gs14","VU","A3_nat",60,"LC","A2b",22
"283","Gs15","LC","A3_nat",40,"LC","A2b",10
"284","Gs16","LC","A3_nat",17,"LC","A2b",6
"285","Gs17","LC","A3_nat",2,"LC","A2b",1
"286","Gs18","LC","A3_nat",2,"LC","A2b",1
"287","Gs19","VU","A3_nat",56,"LC","A2b",22
"288","Gs2","LC","A3_nat",20,"LC","A2b",7
"289","Gs20","VU","A3_nat",64,"LC","A2b",23
"290","Gs3","LC","A3_nat",10,"LC","A2b",4
"291","Gs4","LC","A3_nat, A3_kzn",40,"LC","A2b",18
"292","Gs6","LC","A3_nat, A3_kzn",37,"LC","A2b",14
"293","Gs7","VU","A3_kzn",54,"LC","A2b",19
"294","Gs8","LC","A3_nat, A3_kzn",36,"LC","A2b",25
"295","Gs9","EN","A3_nat",71,"VU","A2b",35
"296","NKb1","LC","A3_nat",1,"LC","A2b",1
"297","NKb2","LC","A3_nat",1,"LC","A2b",1
"298","NKb3","LC","A3_nat",1,"LC","A2b",1
"299","NKb4","LC","A3_nat",0,"LC","A2b",0
"300","NKb5","LC","A3_nat",1,"LC","A2b",1
"301","NKb6","LC","A3_nat",1,"LC","A2b",1
"302","NKl1","LC","A3_nat",1,"LC","A2b",1
