"","T_MAPCODE","T_BIOME","T_Name","RLE_EPL","RLE","Criteria_triggered","EPL"
"204","FS11","Fynbos","Grootbos Strandveld","CR_PP","CR","B1i_inv","PP"
"205","FS12","Fynbos","Southeastern Strandveld","EN_PP","EN","B1i_inv, B2i_inv","PP"
"206","AT21","Albany Thicket","Buffels Mesic Thicket","LC_PP","LC","","PP"
"207","AT31","Albany Thicket","Fish Mesic Thicket","LC_PP","LC","","PP"
"208","AT38","Albany Thicket","Grahamstown Grassland Thicket","LC_MP","LC","","MP"
"209","AT45","Albany Thicket","Nanaga Savanna Thicket","LC_MP","LC","","MP"
"210","AT41","Albany Thicket","Kasouga Dune Thicket","LC_MP","LC","","MP"
"211","AT56","Albany Thicket","Hamburg Dune Thicket","LC_PP","LC","","PP"
"212","AT18","Albany Thicket","Albany Valley Thicket","LC_MP","LC","","MP"
"213","AT24","Albany Thicket","Doubledrift Karroid Thicket","LC_PP","LC","","PP"
"214","AT15","Albany Thicket","Albany Arid Thicket","LC_PP","LC","","PP"
"215","AT16","Albany Thicket","Albany Bontveld","LC_PP","LC","","PP"
"216","AT22","Albany Thicket","Buffels Valley Thicket","CR_NP","CR","B1i_rod","NP"
"217","AT23","Albany Thicket","Crossroads Grassland Thicket","LC_MP","LC","","MP"
"218","AT28","Albany Thicket","Escarpment Mesic Thicket","LC_PP","LC","","PP"
"219","AT30","Albany Thicket","Fish Arid Thicket","LC_WP","LC","","WP"
"220","AT32","Albany Thicket","Fish Valley Thicket","LC_MP","LC","","MP"
"221","AT35","Albany Thicket","Geluk Grassland Thicket","LC_MP","LC","","MP"
"222","AT42","Albany Thicket","Koedoeskloof Karroid Thicket","LC_NP","LC","","NP"
"223","AT47","Albany Thicket","Saltaire Karroid Thicket","LC_PP","LC","","PP"
"224","AT52","Albany Thicket","Thorndale Forest Thicket","LC_PP","LC","","PP"
"225","AT17","Albany Thicket","Albany Mesic Thicket","LC_MP","LC","","MP"
"226","AT20","Albany Thicket","Bethelsdorp Bontveld","LC_NP","LC","","NP"
"227","AT39","Albany Thicket","Grassridge Bontveld","LC_PP","LC","","PP"
"228","AT44","Albany Thicket","Motherwell Karroid Thicket","CR_NP","CR","B1i_rod","NP"
"229","AT48","Albany Thicket","Sardinia Forest Thicket","CR_NP","CR","B1i_inv","NP"
"230","AT53","Albany Thicket","Umtiza Forest Thicket","CR_WP","CR","B1i_rod","WP"
"231","AZa7","Azonal Vegetation","Subtropical Alluvial Vegetation","LC_WP","LC","","WP"
"232","AZd4","Azonal Vegetation","Subtropical Seashore Vegetation","LC_WP","LC","","WP"
"233","AZs3","Azonal Vegetation","Subtropical Dune Thicket","LC_WP","LC","","WP"
"234","AZa4","Azonal Vegetation","Upper Gariep Alluvial Vegetation","LC_PP","LC","","PP"
"235","FOz5","Forests","Scarp Forest","LC_WP","LC","","WP"
"236","SVs6","Savanna","Eastern Valley Bushveld","LC_NP","LC","","NP"
"237","FOz7","Forests","Northern Coastal Forest","LC_WP","LC","","WP"
"238","FOz2","Forests","Northern Afrotemperate Forest","LC_WP","LC","","WP"
"239","FOz3","Forests","Southern Mistbelt Forest","LC_MP","LC","","MP"
"240","FFs29","Fynbos","Algoa Sandstone Fynbos","CR_PP","CR","B1i_rod, B1iii_sp","PP"
"241","Gd1","Grassland","Amathole Montane Grassland","LC_PP","LC","","PP"
"242","Gd2","Grassland","Amathole Mistbelt Grassland","LC_NP","LC","","NP"
"243","Gd3","Grassland","Stormberg Plateau Grassland","LC_NP","LC","","NP"
"244","Gd4","Grassland","Southern Drakensberg Highland Grassland","LC_PP","LC","","PP"
"245","Gd8","Grassland","Lesotho Highland Basalt Grassland","LC_PP","LC","","PP"
"246","Gh2","Grassland","Aliwal North Dry Grassland","LC_NP","LC","","NP"
"247","Gh3","Grassland","Xhariep Karroid Grassland","LC_PP","LC","","PP"
"248","Gm1","Grassland","Zastron Moist Grassland","LC_NP","LC","","NP"
"249","Gm5","Grassland","Basotho Montane Shrubland","LC_PP","LC","","PP"
"250","Gs10","Grassland","Drakensberg Foothill Moist Grassland","LC_PP","LC","","PP"
"251","Gs11","Grassland","Southern KwaZulu-Natal Moist Grassland","EN_PP","EN","B1i_rod","PP"
"252","Gs12","Grassland","East Griqualand Grassland","EN_PP","EN","B1i_rod","PP"
"253","Gs13","Grassland","Mabela Sandy Grassland","CR_PP","CR","B1i_rod","PP"
"254","Gs14","Grassland","Mthatha Moist Grassland","EN_NP","EN","B1i_rod","NP"
"255","Gs15","Grassland","Tsomo Grassland","LC_NP","LC","","NP"
"256","Gs16","Grassland","Queenstown Thornveld","LC_NP","LC","","NP"
"257","Gs18","Grassland","Bedford Dry Grassland","LC_NP","LC","","NP"
"258","Gs19","Grassland","Dry Coast Hinterland Grassland","VU_NP","VU","A3_nat, B1i_rod","NP"
"259","Gs20","Grassland","Moist Coast Hinterland Grassland","VU_NP","VU","A3_nat, B1i_rod","NP"
"260","Gs6","Grassland","KwaZulu-Natal Highland Thornveld","LC_PP","LC","","PP"
"261","Gs9","Grassland","Midlands Mistbelt Grassland","EN_PP","EN","A3_nat","PP"
"262","CB6","Indian Ocean Coastal Belt","KwaZulu-Natal Coastal Belt Thornveld","EN_NP","EN","B1i_rod, B1i_inv","NP"
"263","CB3","Indian Ocean Coastal Belt","KwaZulu-Natal Coastal Belt Grassland","EN_NP","EN","A3_nat, A3_kzn, A2b, B1i_rod","NP"
