"","T_MAPCODE","Area"
"SVk2","SVk2",17350104400
"SVk3","SVk3",1699296600
"SVk4","SVk4",42728504000
"SVk5","SVk5",18760864600
"SVk6","SVk6",18049848800
"SVk7","SVk7",16608271400
"SVk8","SVk8",4428230000
"SVk9","SVk9",12057089000
"SVkd1","SVkd1",105605229600
"SVkd2","SVkd2",17839310600
"SVkd3","SVkd3",8224396999.99999
"SVkd4","SVkd4",1944625400
"SVl1","SVl1",11747803800
"SVl10","SVl10",2082820200
"SVl11","SVl11",1310950000
"SVl12","SVl12",1260865200
"SVl13","SVl13",4105513600
"SVl14","SVl14",17735804000
"SVl15","SVl15",4889668999.99999
"SVl16","SVl16",5668325000
"SVl17","SVl17",2069323200
"SVl18","SVl18",2696915000.00001
"SVl19","SVl19",776855400.000008
"SVl2","SVl2",1343332000
"SVl20","SVl20",5206178400.00002
"SVl21","SVl21",4185394600.00001
"SVl22","SVl22",14468686000
"SVl23","SVl23",27053244600
"SVl24","SVl24",933836999.999993
"SVl25","SVl25",1976811600.00002
"SVl26","SVl26",1469651200
"SVl27","SVl27",925241199.999999
"SVl3","SVl3",48367081599.9999
"SVl4","SVl4",7829796400.00001
"SVl5","SVl5",7710463800.00002
"SVl6","SVl6",5293693799.99999
"SVl7","SVl7",6214487000
"SVl8","SVl8",9491085200.00002
"SVl9","SVl9",8715229799.99999
"SVmp1","SVmp1",13631682600
"SVmp2","SVmp2",16191887600
"SVmp3","SVmp3",821201200
"SVmp4","SVmp4",4737525200.00002
"SVmp5","SVmp5",12578146200
"SVmp6","SVmp6",7584458199.99999
"SVmp7","SVmp7",4431325999.99999
"SVmp8","SVmp8",2384044799.99999
"SVs1","SVs1",5129950400
"SVs2","SVs2",8210792600
"SVs3","SVs3",9078617599.99999
"SVs4","SVs4",4310355799.99999
"SVs5","SVs5",7430381800
"SVs6","SVs6",64203819400
"SVs7","SVs7",32571272200
"SVs8","SVs8",11374275000
