"","T_MAPCODE","YEAR","km2","prop_nat","A3"
"184","AT45",2018,431.6956,0.619340018122731,"LC"
"185","AT45",2020,430.7936,0.618045947262739,"LC"
"186","AT45",2022,430.4944,0.617616694489668,"LC"
"187","AT46",1750,571.8576,1,"LC"
"188","AT46",1990,557.298,0.974539815506518,"LC"
"189","AT46",2014,555.9052,0.972104244133505,"LC"
"190","AT46",2018,552.8852,0.966823209134582,"LC"
"191","AT46",2020,552.4164,0.966003424628789,"LC"
"192","AT46",2022,552.0688,0.965395580997787,"LC"
"193","AT47",1750,910.5756,1,"LC"
"194","AT47",1990,894.258,0.982079906380096,"LC"
"195","AT47",2014,891.6608,0.979227644579978,"LC"
"196","AT47",2018,887.6752,0.974850632940307,"LC"
"197","AT47",2020,887.002,0.974111320356047,"LC"
"198","AT47",2022,886.1536,0.973179602001196,"LC"
"199","AT48",1750,20.3768,1,"LC"
"200","AT48",1990,12.304,0.60382395665659,"LC"
"201","AT48",2014,12.0464,0.591182128695379,"LC"
"202","AT48",2018,11.8832,0.583173020297593,"LC"
"203","AT48",2020,11.72,0.575163911899808,"LC"
"204","AT48",2022,11.6912,0.57375053982961,"LC"
"205","AT49",1750,5647.1168,1,"LC"
"206","AT49",1990,5561.6916,0.984872776139498,"LC"
"207","AT49",2014,5550.6368,0.982915175404199,"LC"
"208","AT49",2018,5535.572,0.980247477792561,"LC"
"209","AT49",2020,5530.824,0.979406694757934,"LC"
"210","AT49",2022,5524.0148,0.978200911303977,"LC"
"211","AT50",1750,577.5424,1,"LC"
"212","AT50",1990,526.6208,0.911830542657994,"LC"
"213","AT50",2014,519.1616,0.898915127270309,"LC"
"214","AT50",2018,516.202,0.89379065502377,"LC"
"215","AT50",2020,515.7564,0.893019109938941,"LC"
"216","AT50",2022,515.4424,0.892475426912379,"LC"
"217","AT51",1750,1963.4028,1,"LC"
"218","AT51",1990,1789.8828,0.911622821358918,"LC"
"219","AT51",2014,1728.866,0.880545754544101,"LC"
"220","AT51",2018,1703.0044,0.867373928569318,"LC"
"221","AT51",2020,1698.5728,0.865116826766265,"LC"
"222","AT51",2022,1693.7084,0.862639291336449,"LC"
"223","AT52",1750,43.5968,1,"LC"
"224","AT52",1990,31.8148,0.729750807398708,"LC"
"225","AT52",2014,30.648,0.7029873752202,"LC"
