"","type","zone","get","extent","RLE","EPL","RLE_EPL","realm"
"186","SKs10","Succulent Karoo","T5.2",133.9984,"LC","WP","LC_WP","ter"
"187","SKs11","Succulent Karoo","T4.5",286.6852,"LC","WP","LC_WP","ter"
"188","SKs13","Succulent Karoo","T5.2",108.1508,"CR","NP","CR_NP","ter"
"189","SKv1","Succulent Karoo","T5.2",447.9824,"LC","NP","LC_NP","ter"
"190","SKv10","Succulent Karoo","T5.2",226.2656,"LC","PP","LC_PP","ter"
"191","SKv11","Succulent Karoo","T5.2",1369.166,"EN","PP","EN_PP","ter"
"192","SKv13","Succulent Karoo","T5.2",2513.968,"LC","PP","LC_PP","ter"
"193","SKv14","Succulent Karoo","T5.2",769.2448,"LC","NP","LC_NP","ter"
"194","SKv2","Succulent Karoo","T5.2",557.15,"LC","MP","LC_MP","ter"
"195","SKv3","Succulent Karoo","T5.2",902.9904,"LC","PP","LC_PP","ter"
"196","SKv4","Succulent Karoo","T5.2",1313.5804,"LC","MP","LC_MP","ter"
"197","SKv5","Succulent Karoo","T5.2",6923.8212,"LC","MP","LC_MP","ter"
"198","SKv6","Succulent Karoo","T5.2",4674.8652,"LC","NP","LC_NP","ter"
"199","SKv7","Succulent Karoo","T5.2",496.252,"LC","PP","LC_PP","ter"
"200","SKv8","Succulent Karoo","T5.2",3931.7928,"LC","MP","LC_MP","ter"
"201","SKt1","Succulent Karoo","T5.2",101.3284,"LC","NP","LC_NP","ter"
"202","SKt2","Succulent Karoo","T5.2",7313.0976,"LC","NP","LC_NP","ter"
"203","SKt3","Succulent Karoo","T5.2",5222.7172,"LC","NP","LC_NP","ter"
"204","FS11","Fynbos",NA,39.448,"CR","PP","CR_PP","ter"
"205","FS12","Fynbos",NA,91.0064,"EN","PP","EN_PP","ter"
"206","AT21","Albany Thicket","T1.2",310.8976,"LC","PP","LC_PP","ter"
"207","AT31","Albany Thicket","T1.2",210.196,"LC","PP","LC_PP","ter"
"208","AT38","Albany Thicket","T1.2",849.7652,"LC","MP","LC_MP","ter"
"209","AT45","Albany Thicket","T1.2",430.4944,"LC","MP","LC_MP","ter"
"210","AT41","Albany Thicket","T1.2",207.8656,"LC","MP","LC_MP","ter"
"211","AT56","Albany Thicket","T1.2",465.9492,"LC","PP","LC_PP","ter"
"212","AT18","Albany Thicket","T1.2",1034.7104,"LC","MP","LC_MP","ter"
"213","AT24","Albany Thicket","T1.2",2598.0464,"LC","PP","LC_PP","ter"
"214","AT15","Albany Thicket","T1.2",14.5748,"LC","PP","LC_PP","ter"
"215","AT16","Albany Thicket","T1.2",51.1648,"LC","PP","LC_PP","ter"
"216","AT22","Albany Thicket","T1.2",92.3968,"CR","NP","CR_NP","ter"
"217","AT23","Albany Thicket","T1.2",268.2796,"LC","MP","LC_MP","ter"
"218","AT28","Albany Thicket","T1.2",908.232,"LC","PP","LC_PP","ter"
"219","AT30","Albany Thicket","T1.2",625.3256,"LC","WP","LC_WP","ter"
"220","AT32","Albany Thicket","T1.2",3450.6652,"LC","MP","LC_MP","ter"
"221","AT35","Albany Thicket","T1.2",18.3744,"LC","MP","LC_MP","ter"
