"","T_MAPCODE","1750","1990","2014","2018","2020","2022","pnat_1990","pnat_2014","pnat_2018","pnat_2020","pnat_2022","ARD9022","ARD9014","ARD1422","ARD1822","ROD9022","ROD9014","ROD1422","ROD1822","nat_2040_ard9022","nat_2040_ard9014","nat_2040_ard1422","nat_2040_ard1822","pred2040lm","pred2040poly","pred2040spline","prclost50_9022","prclost50_9014","prclost50_1422","prclost50_1822","prclost50_lm","prclost50_poly","prclost50_spline","A2b_9022","A2b_9014","A2b_1422","A2b_1822","A2b_lm","A2b_poly","A2b_spline"
"160","FFs29",334.1964,164.0824,144.5876,133.2308,132.838,131.6812,0.490975965031341,0.432642601775483,0.398660189038541,0.397484832272281,0.394023394626633,1.0125375,0.812283333333333,1.6133,0.3874,0.617090864102427,0.49504598502541,1.11579416215499,0.267934456343421,113.455525,123.468233333333,83.4173999999999,144.7124,113.207276635514,91.6841580580404,117.237190764331,31,25,49,12,31,44,29,"VU","LC","VU","LC","VU","VU","LC"
"161","FFs3",498.2384,474.1984,472.0324,470.1596,469.4724,469.3428,0.9517500056198,0.947402689154429,0.943643845998221,0.942264586591479,0.94200447014923,0.151737499999999,0.0902499999999999,0.336199999999998,0.2042,0.0319987372374094,0.0190321182020015,0.0712239244594223,0.0432597423397208,466.611525,469.6859,457.3884,463.9884,466.977814953271,459.244257243032,469.365274203822,2,1,4,2,2,3,1,"LC","LC","LC","LC","LC","LC","LC"
"162","FFs30",37.5252,37.5252,37.5252,37.4912,37.4848,37.4804,1,1,0.999093942204172,0.998923390148487,0.998806135610203,0.00139999999999985,0,0.00559999999999938,0.00269999999999904,0.00373082621811435,0,0.0149233048724574,0.00719516484921876,37.4552,37.5252,37.2452,37.3902,37.4664130841121,37.2958669824325,37.4407598726115,0,0,1,0,0,1,0,"LC","LC","LC","LC","LC","LC","LC"
"163","FFs31",50.8348,50.8348,50.8348,50.828,50.7904,50.79,1,1,0.999866233367693,0.999126582577289,0.99911871395186,0.00140000000000007,0,0.00560000000000027,0.00950000000000095,0.00275401890043842,0,0.0110160756017537,0.0186879853958331,50.7648,50.8348,50.5548,50.3598,50.7851271028037,50.5761009796757,50.8874579617835,0,0,1,1,0,1,0,"LC","LC","LC","LC","LC","LC","LC"
"164","FFs32",547.9488,412.8172,366.306,360.442,357.5984,354.3128,0.753386447784903,0.668504064613336,0.657802334816684,0.65261279886004,0.646616618194985,1.8282625,1.93796666666667,1.49915,1.53230000000001,0.442874594372522,0.46944910887111,0.409261655555738,0.418311466369649,321.404075,315.918866666667,337.8597,336.2022,320.090454205607,334.160190084831,323.695142038216,22,23,18,19,22,19,22,"LC","LC","LC","LC","LC","LC","LC"
"165","FFs4",2523.64,2284.3552,2259.062,2238.5196,2233.7616,2232.7588,0.905182672647446,0.895160165475266,0.887020177204356,0.88513480528126,0.884737442741437,1.6123875,1.05388333333334,3.28789999999998,1.4402,0.0705839223252144,0.0461348276018255,0.14554270754853,0.0637521236690274,2203.735825,2231.66103333333,2119.9602,2212.3452,2205.69568785047,2138.00318435849,2230.1132289809,4,2,7,3,3,6,2,"LC","LC","LC","LC","LC","LC","LC"
"166","FFs5",1135.986,1065.9308,1059.318,1051.976,1051.2628,1051.0576,0.938330930134702,0.932509731634017,0.926046623814026,0.925418799175342,0.925238163146377,0.4647875,0.275533333333338,1.03254999999999,0.229600000000005,0.043603909371978,0.0258490826358838,0.0974730911775299,0.0216743225358207,1042.691425,1052.15413333333,1014.3033,1054.4508,1043.08185046729,1021.06197972192,1049.12844904459,2,1,5,1,2,4,2,"LC","LC","LC","LC","LC","LC","LC"
"167","FFs6",422.8764,383.2364,377.4512,371.6348,370.938,370.706,0.906261025680317,0.89258043248571,0.878826058867319,0.87717829606949,0.876629672405459,0.391575,0.241050000000001,0.843149999999994,0.232199999999992,0.102175837159518,0.0628985138154939,0.223379870033529,0.0615178862856951,363.65765,371.1839,341.0789,371.6264,364.025340186916,346.400029773259,368.753513057325,5,3,11,3,5,10,4,"LC","LC","LC","LC","LC","LC","LC"
"168","FFs7",394.0712,375.8132,373.3496,371.3628,371.17,371.0828,0.953668271114459,0.947416608978276,0.942374880478452,0.941885628789924,0.94166434898059,0.147824999999999,0.102649999999999,0.283349999999999,0.0699999999999932,0.0393347013888813,0.0273141017931247,0.0758940146179341,0.0187491830713072,368.42195,370.6807,361.6457,372.3132,368.462607476635,363.276461104378,370.202344904459,2,1,4,1,2,3,1,"LC","LC","LC","LC","LC","LC","LC"
"169","FFs8",319.7464,316.99,316.5036,315.9276,315.8412,315.7336,0.991379418188915,0.989858212633512,0.988056785002114,0.987786570857405,0.987450054167928,0.0392624999999995,0.0202666666666668,0.0962499999999977,0.04849999999999,0.0123860374144293,0.00639347192866236,0.0304103965958042,0.0153236803625583,315.026875,315.976666666667,312.1775,314.565000000001,315.168936448598,312.905077432306,314.62738343949,1,0,2,1,1,1,1,"LC","LC","LC","LC","LC","LC","LC"
