"","T_MAPCODE","A3_fin","A3_prplost","A2b_fin","A2b_prplost50","B1_fin","B2_fin","RoD","D3_fin","D3_prpdeg","prp_invmax","RLE","Criteria_triggered","Criteria_used"
"194","FRs14","VU",0.582553972111024,"LC",0.294749760476899,"CR","VU",0.6,"LC",0.000414075043138587,0.26794207968759,"CR","B1i_rod","A3_nat, A3_wc, A2b, B1i_rod, B2i_rod, D3_step"
"195","FRs15","LC",0.044015709973286,"LC",0.0130595726667646,"LC","LC",0,"LC",0.000185244145995543,0.00451703728372262,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, D3_step"
"196","FRs16","LC",0.180839853029726,"LC",0.0474506084672906,"LC","LC",0.1,"LC",0.0000768676691912304,0.00734994703458909,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, D3_step"
"197","FRs17","VU",0.690212920443529,"VU",0.339622210025613,"EN","VU",0.7,"LC",0,0.282829038411191,"EN","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, D3_step"
"198","FRs18","LC",0.00038745847455901,"LC",0.000152711310326214,"LC","LC",0,"LC",0.000973706553820029,0.00199534195509807,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, D3_step"
"199","FRs19","VU",0.582230202331502,"LC",0.191179823672477,"EN","EN",0.4,"LC",0.000638818057971667,0.249782540085752,"EN","B1i_rod, B2i_rod","A3_nat, A2b, B1i_rod, B2i_rod, D3_step"
"200","FRs2","VU",0.523213645968137,"LC",0.184925742406933,"CR","EN",0.4,"LC",0,0.00771336344049746,"CR","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, "
"201","FRs20","EN",0.756609748208175,"VU",0.45025735660227,"CR","EN",0.9,"LC",0,0.0862099115168048,"CR","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, "
"202","FRs3","LC",0.021509309171921,"LC",0.00703831321430572,"LC","LC",0,"LC",0,0.000273801480078052,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"203","FRs4","VU",0.570150336675414,"LC",0.262349664135744,"CR","EN",0.5,"LC",0,0.0345825306653849,"CR","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, "
"204","FRs5","LC",0.030226921887475,"LC",0.00431719142424703,"LC","LC",0,"LC",0,0.000502694603188158,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"205","FRs6","LC",0.0894007549036579,"LC",0.0258131148146699,"LC","LC",0.1,"LC",0,0.00166874034523986,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"206","FRs7","LC",0.152440020965889,"LC",0.057364225680048,"LC","LC",0.1,"LC",0,0.012725859183363,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"207","FRs8","LC",0.343380526832777,"LC",0.140937518078491,"EN","VU",0.3,"LC",0,0.0484738220727575,"EN","B1iii_sp","A3_nat, A3_wc, A2b, B1iii_sp, B2iii_sp, "
"208","FRs9","CR",0.902042373409933,"EN",0.619754849065725,"EN","LC",1.2,"LC",0,0.179471106306876,"CR","A3_nat","A3_nat, A2b, B1i_rod, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"209","FS1","LC",0.253242119667693,"LC",0.196625417631191,"CR","EN",0.4,"LC",0,0.00768982832326796,"CR","B1i_rod","A3_nat, A3_wc, A2b, B1i_rod, B2i_rod, "
"210","FS10","LC",0.061053552248347,"LC",0.0312620277118481,"EN","VU",0.1,"LC",0,0.379574657493896,"EN","B1i_invmax","A3_nat, A3_wc, A2b, B1i_invmax, B2i_invmax, "
"211","FS11","LC",0.0439429448844351,"LC",0.00598175234093286,"CR","EN",0,"LC",0,0.423686878929223,"CR","B1i_invmax","A3_nat, A3_wc, A2b, B1i_invmax, B2i_invmax, "
"212","FS12","LC",0.235620598828146,"LC",0.12155641869571,"LC","LC",0.2,"LC",0.00414550243220726,0.239780938483447,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, D3_step"
"213","FS13","LC",0.138865148794377,"LC",0.0618789897687029,"LC","LC",0.1,"LC",0.0160891446387159,0.160435232924733,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, D3_step"
"214","FS14","LC",0.123732527763678,"LC",0.0953864599179256,"CR","EN",0.2,"LC",0.027014642563749,0.47615750879523,"CR","B1i_invmax","A3_nat, A2b, B1i_invmax, B2i_invmax, D3_step"
"215","FS2","EN",0.737958479963484,"LC",0.298270385662976,"CR","EN",0.6,"LC",0,0.0296279647120724,"CR","B1i_rod, B1iii_sp","A3_nat, A2b, B1i_rod, B1iii_sp, B2i_rod, B2iii_sp, "
"216","FS3","VU",0.55161410219057,"LC",0.231686056059878,"EN","VU",0.5,"LC",0,0.0362077015567562,"EN","B1i_rod, B1iii_sp","A3_nat, A3_wc, A2b, B1i_rod, B1iii_sp, B2i_rod, B2iii_sp, "
"217","FS4","LC",0.121459673750569,"LC",0.0475916892431526,"LC","LC",0.1,"LC",0,0.0164669207907998,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"218","FS5","LC",0.112159064903564,"LC",0.0660871318895682,"EN","VU",0.1,"LC",0,0.118624932082097,"EN","B1iii_sp","A3_nat, A3_wc, A2b, B1iii_sp, B2iii_sp, "
"219","FS6","VU",0.634036511522276,"VU",0.484672797723339,"EN","EN",1,"LC",0.199254217970004,0.398385169945903,"EN","B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp","A3_nat, A3_coct, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, D3_coct"
