T_MAPCODE,EOO,AOO
SVcb8,8118.074289,64
SVcb9,36063.97631,134
SVk1,31903.22462,229
SVk10,64698.61384,222
SVk11,22885.46613,192
SVk12,12608.7486,116
SVk13,20772.29101,178
SVk14,1543.554548,22
SVk15,12263.05505,82
SVk16,42443.89966,151
SVk17,36872.44651,176
SVk18,1312.457109,21
SVk2,17344.11899,94
SVk3,1700.845545,24
SVk4,42742.66764,289
SVk5,18756.64742,100
SVk6,18032.2345,103
SVk7,16619.50565,178
SVk8,4434.208762,54
SVk9,12050.6283,104
SVkd1,105628.5252,641
SVkd2,17823.73221,64
SVkd3,8222.225073,56
SVkd4,1946.198176,27
SVl1,11749.4717,55
SVl10,2079.966729,23
SVl11,1310.267225,18
SVl12,1261.638471,18
SVl13,4106.51579,19
SVl14,17730.99517,118
SVl15,4904.974415,45
SVl16,5667.109149,58
SVl17,2069.040193,14
SVl18,2695.829502,33
SVl19,777.2303167,8
SVl2,1350.443839,9
SVl20,5199.580571,48
SVl21,4177.630137,30
SVl22,14455.00773,124
SVl23,27037.38453,153
SVl24,922.5778268,16
SVl25,1975.171934,24
SVl26,1465.706484,21
SVl27,926.8109621,14
SVl3,48356.32851,319
SVl4,7834.873993,62
SVl5,7717.28972,69
SVl6,5300.610784,32
SVl7,6210.888853,35
SVl8,9479.190325,68
SVl9,8700.793382,66
SVmp1,13632.69887,137
SVmp2,16194.61039,108
SVmp3,821.9491823,11
SVmp4,4734.15714,56
SVmp5,12575.59988,105
SVmp6,7578.342642,58
SVmp7,4433.501829,46
SVmp8,2389.550753,25
SVs1,5121.834748,56
SVs2,8207.216277,73
SVs3,9073.263412,55
SVs4,4283.35206,25
SVs5,7395.012058,55
SVs6,64156.40512,297
SVs7,32535.59538,194
SVs8,11358.69763,57
