"","BIOME","T_Name","T_MAPCODE","nat_1750","nat_1990","nat_2014","nat_2018","nat_2020","nat_2022","pnat_1990","pnat_2014","pnat_2018","pnat_2020","pnat_2022","ARD","nat_2040","prplost9040","ROD","A2b","A3"
"33","Albany Thicket","Saltaire Karroid Thicket","AT47",910.5756,894.258,891.6608,887.6752,887.002,886.1536,0.982079906380096,0.979227644579978,0.974850632940307,0.974111320356047,0.973179602001196,0.253262500000002,881.594875,0.0141604827689549,0.0283209655379098,"LC","LC"
"34","Albany Thicket","Sardinia Forest Thicket","AT48",20.3768,12.304,12.0464,11.8832,11.72,11.6912,0.60382395665659,0.591182128695379,0.583173020297593,0.575163911899808,0.57375053982961,0.01915,11.3465,0.0778202210663199,0.15564044213264,"LC","LC"
"35","Albany Thicket","Sundays Arid Thicket","AT49",5647.1168,5561.6916,5550.6368,5535.572,5530.824,5524.0148,0.984872776139498,0.982915175404199,0.980247477792561,0.979406694757934,0.978200911303977,1.17740000000001,5502.8216,0.0105849090949235,0.0211698181898472,"LC","LC"
"36","Albany Thicket","Sundays Mesic Thicket","AT50",577.5424,526.6208,519.1616,516.202,515.7564,515.4424,0.911830542657994,0.898915127270309,0.89379065502377,0.893019109938941,0.892475426912379,0.349325,509.15455,0.0331666542605229,0.0663333085210459,"LC","LC"
"37","Albany Thicket","Sundays Valley Thicket","AT51",1963.4028,1789.8828,1728.866,1703.0044,1698.5728,1693.7084,0.911622821358918,0.880545754544101,0.867373928569318,0.865116826766265,0.862639291336449,3.00545,1639.6103,0.0839566143660357,0.167913228732071,"LC","LC"
"38","Albany Thicket","Thorndale Forest Thicket","AT52",43.5968,31.8148,30.648,30.2872,30.246,30.2416,0.729750807398708,0.7029873752202,0.694711538461538,0.693766514973576,0.693665590135056,0.0491625000000001,29.356675,0.0772635691564934,0.154527138312987,"LC","LC"
"39","Albany Thicket","Umtiza Forest Thicket","AT53",27.1028,19.4924,17.572,16.8096,16.684,16.5496,0.719202444027923,0.648346296323627,0.620216361409153,0.615582153873401,0.610623256637691,0.0919624999999999,14.894275,0.23589321992161,0.471786439843221,"LC","LC"
"40","Albany Thicket","Vanstadens Forest Thicket","AT54",187.7204,185.6204,185.0972,184.9368,184.9032,184.8992,0.988813149769551,0.986026025940708,0.985171563665963,0.984992574062276,0.984971265776122,0.0225374999999994,184.493525,0.00607085751350597,0.0121417150270118,"LC","LC"
"41","Albany Thicket","Western Gwarrieveld","AT55",760.3872,749.5344,746.7232,742.8236,742.1788,741.5976,0.985727271579532,0.982030207767832,0.976901767941386,0.976053778916847,0.975289431489641,0.248024999999998,737.13315,0.0165452713044256,0.0330905426088514,"LC","LC"
"42","Albany Thicket","Hamburg Dune Thicket","AT56",701.6176,499.2812,480.4896,470.056,468.1268,465.9492,0.711614417882334,0.684831167291128,0.669960388678961,0.667210742717971,0.664107057747696,1.041625,447.19995,0.104312459591909,0.208624919183819,"LC","LC"
