"","T_MAPCODE","T_BIOME","T_Name","get","extent","RLE_EPL","RLE","Criteria_triggered","EPL"
"378","Gm29","Grassland","Waterberg-Magaliesberg Summit Sourveld","T4.5",502.7088,"LC_WP","LC","","WP"
"379","Gm3","Grassland","Eastern Free State Clay Grassland","T4.5",6008.3952,"VU_NP","VU","A3_nat, B1i_rod","NP"
"380","Gm30","Grassland","Steenkampsberg Montane Grassland","T4.5",2611.3308,"LC_PP","LC","","PP"
"381","Gm31","Grassland","Long Tom Pass Montane Grassland","T4.5",536.1616,"LC_WP","LC","","WP"
"382","Gm4","Grassland","Eastern Free State Sandy Grassland","T4.5",7447.7704,"LC_PP","LC","","PP"
"383","Gm6","Grassland","Frankfort Highveld Grassland","T4.5",5464.9784,"LC_NP","LC","","NP"
"384","Gm7","Grassland","Northern Free State Shrubland","T4.5",27.6196,"LC_PP","LC","","PP"
"385","Gm8","Grassland","Soweto Highveld Grassland","T4.5",5504.348,"VU_NP","VU","A3_nat, B1i_rod","NP"
"386","Gm9","Grassland","Tsakane Clay Grassland","T4.5",435.8432,"EN_PP","EN","B1i_rod","PP"
"387","Gs1","Grassland","Northern Zululand Mistbelt Grassland","T4.5",281.4492,"EN_PP","EN","B1i_rod","PP"
"388","Gs2","Grassland","Ithala Quartzite Sourveld","T4.5",1242.8228,"LC_MP","LC","","MP"
"389","Gs3","Grassland","Low Escarpment Moist Grassland","T4.5",1563.8912,"LC_PP","LC","","PP"
"390","Gs4","Grassland","Northern KwaZulu-Natal Moist Grassland","T4.5",4242.93,"VU_PP","VU","B1i_rod","PP"
"391","Gs7","Grassland","Income Sandy Grassland","T4.5",2366.6848,"EN_NP","EN","B1i_rod","NP"
"392","Gs8","Grassland","Mooi River Highland Grassland","T4.5",1664.26,"EN_PP","EN","B1i_rod","PP"
"393","CB2","Indian Ocean Coastal Belt","Maputaland Wooded Grassland","T4.2",401.0516,"EN_MP","EN","B1i_rod","MP"
"394","SVcb1","Savanna","Dwaalboom Thornveld","T4.2",5108.8792,"LC_MP","LC","","MP"
"395","SVcb10","Savanna","Gauteng Shale Mountain Bushveld","T4.2",919.6632,"EN_PP","EN","B1i_rod","PP"
"396","SVcb12","Savanna","Central Sandy Bushveld","T4.2",10862.8848,"LC_PP","LC","","PP"
"397","SVcb13","Savanna","Loskop Mountain Bushveld","T4.2",1920.4356,"LC_MP","LC","","MP"
"398","SVcb14","Savanna","Loskop Thornveld","T4.2",441.2272,"LC_PP","LC","","PP"
"399","SVcb15","Savanna","Springbokvlakte Thornveld","T4.1",2856.3324,"EN_PP","EN","B1i_rod","PP"
"400","SVcb16","Savanna","Western Sandy Bushveld","T4.2",9880.8072,"LC_MP","LC","","MP"
"401","SVcb17","Savanna","Waterberg Mountain Bushveld","T4.2",8214.646,"LC_MP","LC","","MP"
"402","SVcb18","Savanna","Roodeberg Bushveld","T4.1",5101.8224,"LC_MP","LC","","MP"
"403","SVcb19","Savanna","Limpopo Sweet Bushveld","T4.1",10665.7168,"LC_PP","LC","","PP"
"404","SVcb2","Savanna","Madikwe Dolomite Bushveld","T4.1",1075.8564,"LC_WP","LC","","WP"
"405","SVcb20","Savanna","Makhado Sweet Bushveld","T4.1",6219.6988,"EN_PP","EN","B1i_rod","PP"
"406","SVcb21","Savanna","Soutpansberg Mountain Bushveld","T4.2",3045.662,"LC_MP","LC","","MP"
"407","SVcb22","Savanna","VhaVenda Miombo","T4.2",0.5316,"LC_WP","LC","","WP"
"408","SVcb23","Savanna","Polokwane Plateau Bushveld","T4.2",2519.1048,"EN_PP","EN","B1i_rod","PP"
"409","SVcb24","Savanna","Mamabolo Mountain Bushveld","T4.2",596.7168,"LC_PP","LC","","PP"
"410","SVcb25","Savanna","Poung Dolomite Mountain Bushveld","T4.2",823.9772,"LC_MP","LC","","MP"
"411","SVcb26","Savanna","Ohrigstad Mountain Bushveld","T4.2",1747.8652,"LC_MP","LC","","MP"
"412","SVcb27","Savanna","Sekhukhune Plains Bushveld","T4.1",1210.104,"EN_PP","EN","B1i_rod","PP"
"413","SVcb28","Savanna","Sekhukhune Mountain Bushveld","T4.2",1809.8568,"LC_PP","LC","","PP"
"414","SVcb6","Savanna","Marikana Thornveld","T4.2",708.9796,"EN_PP","EN","B1i_rod","PP"
"415","SVcb7","Savanna","Norite Koppies Bushveld","T4.2",360.9508,"EN_PP","EN","B1i_rod","PP"
"416","SVcb8","Savanna","Moot Plains Bushveld","T4.2",843.362,"EN_PP","EN","B1i_rod","PP"
"417","SVcb9","Savanna","Gold Reef Mountain Bushveld","T4.2",2593.0128,"LC_MP","LC","","MP"
"418","SVl1","Savanna","Makuleke Sandy Bushveld","T4.2",1579.2596,"LC_WP","LC","","WP"
"419","SVl10","Savanna","Pretoriuskop Sour Bushveld","T4.2",615.1964,"LC_WP","LC","","WP"
"420","SVl11","Savanna","Malelane Mountain Bushveld","T4.2",596.5872,"LC_WP","LC","","WP"
"421","SVl12","Savanna","Kaalrug Mountain Bushveld","T4.2",368.3856,"LC_MP","LC","","MP"
"422","SVl13","Savanna","Barberton Serpentine Sourveld","T4.2",72.4612,"LC_WP","LC","","WP"
