"","T_MAPCODE","LC","1750","1990","2014","2018","2020","2022","prop_nat1990","prop_nat2014","prop_nat2018","prop_nat2020","prop_nat2022","A3_1990","A3_2014","A3_2018","A3_2020","A3_2022"
"85","FFa2","nat",501.6496,235.0628,192.3232,171.872,169.6896,168.948,0.468579661979198,0.383381547598164,0.342613649049057,0.338263202043817,0.336784879326127,"VU","VU","VU","VU","VU"
"86","FFa3","nat",477.154,189.6844,164.1436,140.9892,139.3292,136.9996,0.397532871986822,0.344005499272771,0.295479446887169,0.29200048621619,0.287118205023955,"VU","VU","EN","EN","EN"
"87","FFa4","nat",35.8392,13.1088,7.9916,5.288,5.176,5.122,0.365767093015469,0.222984888055537,0.147547936337865,0.144422866581843,0.142916136520904,"VU","EN","EN","EN","EN"
"88","FFb1","nat",279.0688,263.648,260.9748,258.6304,258.3268,258.2252,0.944741941772065,0.935162941898199,0.926762146108773,0.925674242337373,0.925310174408605,"LC","LC","LC","LC","LC"
"89","FFb2","nat",134.5308,129.2912,128.8256,128.3692,128.2904,128.2068,0.961052784938468,0.957591867438535,0.95419933576549,0.953613596291704,0.952992177256063,"LC","LC","LC","LC","LC"
"90","FFb3","nat",97.8776,97.8124,97.808,97.7444,97.72,97.7068,0.99933386188464,0.999288907778695,0.998639116610951,0.998389825659804,0.99825496334197,"LC","LC","LC","LC","LC"
"91","FFb4","nat",61.9624,55.4492,54.5776,54.188,54.0752,54.0568,0.89488463971699,0.880818044491498,0.874530360347566,0.872709901488645,0.872412947206693,"LC","LC","LC","LC","LC"
"92","FFb5","nat",108.3896,97.3924,96.5404,96.0748,95.86,95.8256,0.898540081336217,0.890679548591378,0.886383933513916,0.884402193568387,0.884084819945825,"LC","LC","LC","LC","LC"
"93","FFb6","nat",78.0444,34.536,31.1996,29.7744,29.3304,29.268,0.442517336285499,0.399767311940383,0.381505912019312,0.375816842720298,0.375017297845842,"VU","VU","VU","VU","VU"
"94","FFc1","nat",869.1648,472.4052,417.9464,391.334,389.0884,388.6148,0.543516258366653,0.480859786314402,0.450241427172384,0.447657797462576,0.447112906551209,"LC","VU","VU","VU","VU"
"95","FFd1","nat",1300.9768,1127.1256,1113.306,1107.9184,1107.2972,1106.6752,0.866368716183102,0.855746236212667,0.851605040151369,0.851127552774192,0.850649450474444,"LC","LC","LC","LC","LC"
"96","FFd10","nat",151.6788,37.8832,34.2408,31.0504,30.6976,29.776,0.249759359910548,0.225745456846969,0.204711535165099,0.202385567396367,0.196309569959678,"EN","EN","EN","EN","EN"
"97","FFd11","nat",76.61,65.0364,62.1544,60.1604,60.0304,60.0188,0.848928338337032,0.81130922856024,0.785281294870121,0.783584388461036,0.783432972196841,"LC","LC","LC","LC","LC"
"98","FFd2","nat",2055.6608,1027.738,818.9028,771.7904,760.3436,756.9556,0.49995505095004,0.398364749670763,0.37544637714549,0.369877948735511,0.368229816903645,"VU","VU","VU","VU","VU"
"99","FFd3","nat",1009.5924,705.8824,659.6652,642.314,639.8112,638.2968,0.699175627708766,0.653397549347638,0.636211207612102,0.633732187365911,0.632232176074226,"LC","LC","LC","LC","LC"
"100","FFd4","nat",689.0436,372.9324,358.52,335.8012,333.228,330.844,0.541231933654126,0.520315405295108,0.487343906829698,0.483609455192676,0.480149587050805,"LC","LC","VU","VU","VU"
"101","FFd5","nat",556.9336,172.2464,132.548,93.2976,91.812,88.866,0.309276366159269,0.237996055544144,0.167520149619272,0.164852686208913,0.15956300715202,"VU","EN","EN","EN","EN"
"102","FFd6","nat",88.5808,60.2156,56.2124,52.3056,51.6908,51.4168,0.679781623105684,0.634588985423478,0.590484619691852,0.58354406372487,0.580450842620523,"LC","LC","LC","LC","LC"
"103","FFd7","nat",247.4448,133.0232,128.0444,120.5756,119.77,119.5484,0.537587373022185,0.517466521826282,0.487282820249203,0.484027144639936,0.483131591369065,"LC","LC","VU","VU","VU"
"104","FFd8","nat",97.686,46.9772,45.5852,43.8228,43.4952,43.4192,0.480900026615892,0.466650287656368,0.448608807812788,0.44525520545421,0.444477202465041,"VU","VU","VU","VU","VU"
"105","FFd9","nat",517.29,295.608,282.4656,265.0924,264.364,264.1432,0.571455083222177,0.546048831409848,0.51246380173597,0.511055694098088,0.510628854221037,"LC","LC","LC","LC","LC"
"106","FFf1","nat",694.0016,280.7784,258.8616,236.0696,233.9056,233.5072,0.404578894342607,0.372998563692072,0.34015714084809,0.337038992417309,0.336464930340218,"VU","VU","VU","VU","VU"
"107","FFf2","nat",40.588,21.1192,20.0152,19.4436,19.4044,19.376,0.52033113235439,0.493130974672317,0.479047994481127,0.478082191780822,0.47738247757958,"LC","VU","VU","VU","VU"
"108","FFg1","nat",64.8176,64.1628,64.0716,64.0356,64.024,64.0224,0.989897805534299,0.988490780281899,0.987935375577004,0.98775641183876,0.987731727185209,"LC","LC","LC","LC","LC"
"109","FFg2","nat",523.9892,323.228,297.9936,282.3864,280.9016,279.5672,0.616860042153541,0.568701797670639,0.538916450949752,0.536082804760098,0.533536187387068,"LC","LC","LC","LC","LC"
"110","FFg3","nat",91.7956,37.632,34.3492,31.4272,31.3424,31.2132,0.409954289748093,0.374192227078422,0.34236063602177,0.341436844467491,0.340029369599414,"VU","VU","VU","VU","VU"
"111","FFg4","nat",16.934,14.7308,14.2204,14.1388,14.1352,14.1344,0.869894886028109,0.8397543403803,0.834935632455415,0.834723042399905,0.834675800165348,"LC","LC","LC","LC","LC"
"112","FFg5","nat",498.2224,235.242,202.7332,180.4428,178.5104,177.678,0.472162632591389,0.406913057301318,0.362173198154077,0.358294608993895,0.356623869179708,"VU","VU","VU","VU","VU"
"113","FFh1","nat",427.9772,229.4964,212.8908,200.652,199.2624,198.7996,0.53623510785154,0.497434910083995,0.468838059597567,0.465591157659801,0.464509791643106,"LC","VU","VU","VU","VU"
"114","FFh10","nat",283.2676,278.9864,278.5096,278.0868,278.0152,277.9484,0.984886375992171,0.983203161957103,0.981710580384061,0.981457815860338,0.981221996444351,"LC","LC","LC","LC","LC"
"115","FFh11","nat",12.6292,6.1292,6.0388,5.5004,5.3908,5.3668,0.485319735216799,0.478161720457353,0.435530358217464,0.426852057137427,0.42495169923669,"VU","VU","VU","VU","VU"
"116","FFh2","nat",106.534,102.0516,101.7328,101.306,101.2844,101.2808,0.957925169429478,0.954932697542568,0.950926464790583,0.950723712617568,0.950689920588732,"LC","LC","LC","LC","LC"
"117","FFh3","nat",75.1268,65.6788,65.1164,63.7652,63.714,63.6852,0.87423928611361,0.866753275795056,0.848767683436537,0.848086168983638,0.847702817103883,"LC","LC","LC","LC","LC"
"118","FFh4","nat",316.876,230.734,211.3012,204.5084,203.862,203.6124,0.728152337191835,0.66682614019364,0.645389363662758,0.643349448995822,0.642561759173936,"LC","LC","LC","LC","LC"
"119","FFh5","nat",84.0044,41.6704,38.8444,36.4568,36.1088,35.8028,0.496050206893925,0.462409111903662,0.433986791168082,0.429844151020661,0.426201484684136,"VU","VU","VU","VU","VU"
"120","FFh6","nat",279.4916,98.46,82.848,69.446,67.5152,67.108,0.352282501513462,0.296423935459957,0.248472583791427,0.241564326083503,0.240107394998633,"VU","EN","EN","EN","EN"
"121","FFh7","nat",266.618,165.4496,156.1416,148.8364,148.3028,148.176,0.620549250238169,0.585637878912902,0.558238378504077,0.556237013254919,0.555761426460329,"LC","LC","LC","LC","LC"
"122","FFh8","nat",186.7676,150.8172,147.262,144.684,144.5036,144.4432,0.807512652087407,0.788477230526066,0.774673979855178,0.773708073563081,0.773384676999651,"LC","LC","LC","LC","LC"
"123","FFh9","nat",563.6392,296.6856,269.4576,247.882,245.5312,243.7668,0.526375028564372,0.478067529724689,0.439788432032407,0.435617678827165,0.432487307483227,"LC","VU","VU","VU","VU"
"124","FFl1","nat",286.9588,264.8408,262.9836,258.1172,257.5984,257.4524,0.922922733158906,0.916450723936677,0.899492191910476,0.897684266870366,0.897175483031014,"LC","LC","LC","LC","LC"
"125","FFl2","nat",694.2568,668.6096,667.2504,662.2,661.8244,661.6104,0.963058049989572,0.961100272982562,0.953825731343215,0.953284721157935,0.952976477868132,"LC","LC","LC","LC","LC"
"126","FFl3","nat",791.6736,651.548,641.656,623.1776,622.448,622.3644,0.823000792245693,0.810505743781275,0.7871648113566,0.786243219427805,0.78613762035263,"LC","LC","LC","LC","LC"
"127","FFq1","nat",49.024,49.024,49.024,49.024,49.024,49.024,1,1,1,1,1,"LC","LC","LC","LC","LC"
"128","FFq2","nat",1646.1872,1624.1432,1621.35,1617.9196,1617.482,1617.4104,0.986609056369774,0.984912287010857,0.982828441382608,0.982562614992997,0.982519120547165,"LC","LC","LC","LC","LC"
"129","FFq3","nat",1268.0852,1252.3672,1251.4956,1250.0196,1249.8856,1249.804,0.987604933800978,0.986917598281251,0.985753638635637,0.985647967502499,0.985583618513961,"LC","LC","LC","LC","LC"
"130","FFq4","nat",97.856,92.78,92.0184,91.4272,91.3576,91.3208,0.948127861347286,0.940344996729889,0.934303466317855,0.933592217135383,0.933216154349248,"LC","LC","LC","LC","LC"
"131","FFq5","nat",388.8108,388.4992,388.4596,388.3716,388.3248,388.316,0.999198581932395,0.999096732909683,0.9988704017481,0.998750034721258,0.998727401605099,"LC","LC","LC","LC","LC"
"132","FFq6","nat",683.2776,673.2128,671.7848,669.6812,669.522,668.574,0.985269822982635,0.983179896428626,0.980101206303265,0.979868211690241,0.978480781456907,"LC","LC","LC","LC","LC"
"133","FFs1","nat",1014.1516,847.4148,809.5972,801.8964,801.0928,800.52,0.835589866446003,0.798299978030898,0.790706635970401,0.789914249506681,0.789349442430501,"LC","LC","LC","LC","LC"
"134","FFs10","nat",1050.6224,1015.8664,1012.8076,1009.646,1009.1724,1008.654,0.966918656978949,0.96400723989894,0.960997976056859,0.960547195643268,0.960053773839202,"LC","LC","LC","LC","LC"
"135","FFs11","nat",914.2348,780.0604,770.7732,765.004,764.088,763.5196,0.853238577223269,0.843080136525103,0.836769722613928,0.835767791818907,0.835146069696756,"LC","LC","LC","LC","LC"
"136","FFs12","nat",1179.408,1074.5392,1066.5108,1052.188,1050.5472,1049.864,0.911083526650659,0.904276382727606,0.892132324013403,0.890741117577632,0.89016184390813,"LC","LC","LC","LC","LC"
"137","FFs13","nat",531.504,523.9964,522.7864,521.0416,520.8932,520.876,0.985874800565941,0.983598241969957,0.980315482103615,0.980036274421265,0.980003913423041,"LC","LC","LC","LC","LC"
