"","T_MAPCODE","A3_fin","A3_prclost","A2b_fin","A2b_prclost50","B1_fin","B2_fin","RoD","D3_fin","D3_prcdeg","prpinv_max","RLE","Criteria_triggered","Criteria_used","X1750","X2022","pnat_2022","ROD9022","prclost50_9022","expert_change"
"42","AT56","LC",34,"LC",10,"LC","LC",0.2,"LC",0,0.0873563040777836,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",701.6176,465.9492,0.664107057747696,0.208624919183819,10,"RLE not adjusted"
"43","AT57","LC",23,"LC",9,"EN","EN",0.2,"LC",2,0.195512067148392,"EN","B1iii_sp, B2iii_sp","A3_nat, A2b, B1iii_sp, B2iii_sp, D3_step; D3_inv",137.0648,105.5096,0.769778965861403,0.18206071576482,9,"RLE not adjusted"
"44","AT58","LC",1,"LC",1,"LC","LC",0,"LC",0,0.000330257770331471,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",2252.3448,2221.2952,0.986214544060927,0.0143906428993811,1,"RLE not adjusted"
"45","AZa1","LC",1,"LC",1,"LC","LC",0,"LC",0,0.0291420150878659,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",18.7044,18.1868,0.97232736682278,0.0221113319211199,1,"RLE not adjusted"
"46","AZa2","VU",62,"VU",41,"EN","VU",0.8,"LC",0,0.318271809827463,"EN","B1i_rod, B1i_inv","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B2i_rod, B2i_inv, D3_inv",350.796,116.1724,0.331167972268783,0.810900222588813,41,"RLE not adjusted"
"47","AZa3","LC",39,"LC",16,"LC","LC",0.3,"LC",0,0.112114197123979,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",867.5872,530.9836,0.612023321690315,0.328695474274636,16,"RLE not adjusted"
"48","AZa4","LC",30,"LC",13,"LC","LC",0.3,"LC",0,0.104955668509647,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",1787.3464,1248.4128,0.69847277505916,0.26643964013393,13,"RLE not adjusted"
"49","AZa5","LC",35,"LC",12,"LC","LC",0.2,"LC",0,0.0137779068928459,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",3235.1676,2106.648,0.651171209800692,0.243649015777221,12,"RLE not adjusted"
"50","AZa6","VU",56,"LC",24,"EN","LC",0.5,"LC",0,0.0480901277350316,"EN","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",653.4064,286.0296,0.437751451470325,0.4897703231467,24,"RLE not adjusted"
"51","AZa7","LC",33,"LC",16,"LC","LC",0.3,"LC",0,0.0144315961889974,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",1274.7652,859.3644,0.674135440785487,0.315638351068504,16,"RLE not adjusted"
"52","AZd1","CR",95,"EN",75,"CR","CR",1.5,"LC",0,NA,"CR","A3_nat, B1i_rod, B2i_rod","A3_nat, A2b, B1i_rod, B2i_rod, ",6.4404,0.3172,0.0492515992795479,1.49358130348914,75,"RLE not adjusted"
"53","AZd2","LC",28,"LC",20,"EN","CR",0.4,"LC",0,NA,"CR","B2i_rod","A3_nat, A2b, B1i_rod, B2i_rod, ",13.216,9.5168,0.720096852300242,0.405342380569171,20,"RLE not adjusted"
"54","AZd3","LC",2,"LC",1,"LC","LC",0,"LC",0,0.00114860708159013,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",220.1216,215.2172,0.977719587718788,0.0224312784052643,1,"RLE not adjusted"
