"","T_MAPCODE","EOO","AOO","sp_tot","sp_fire","sp_inv","sp_overg","ext2022","sp_km2","prp_fire","prp_inv","prp_overg","B1iii_sp","B2iii_sp"
"82","Dn4",386.1980345,8,43,0,0,36,194.7612,0.22,0,0,0.8,"CR","EN"
"83","Dn5",845.8349561,12,40,0,0,32,384.4044,0.1,0,0,0.8,"LC","LC"
"84","FFa1",887.8102549,12,18,4,13,9,52.9628,0.34,0.2,0.7,0.5,"LC","LC"
"85","FFa2",2080.24014,16,139,64,123,83,168.948,0.82,0.5,0.9,0.6,"EN","EN"
"86","FFa3",2354.29011,21,178,92,170,126,136.9996,1.3,0.5,1,0.7,"EN","VU"
"87","FFa4",95.44640343,3,62,37,60,48,5.122,12.1,0.6,1,0.8,"CR","EN"
"88","FFb1",8843.675429,53,25,11,15,10,258.2252,0.1,0.4,0.6,0.4,"LC","LC"
"89","FFb2",13057.50438,47,56,20,54,16,128.2068,0.44,0.4,1,0.3,"EN","VU"
"90","FFb3",6889.757159,36,7,3,4,3,97.7068,0.07,0.4,0.6,0.4,"LC","LC"
"91","FFb4",6731.781133,26,18,7,17,3,54.0568,0.33,0.4,0.9,0.2,"LC","LC"
"92","FFb5",4529.078702,35,3,3,1,1,95.8256,0.03,1,0.3,0.3,"LC","LC"
"93","FFb6",4361.308655,11,4,2,3,0,29.268,0.14,0.5,0.8,0,"LC","LC"
"94","FFc1",3617.497062,34,71,18,52,38,388.6148,0.18,0.3,0.7,0.5,"EN","VU"
"95","FFd1",6299.96488,50,24,2,6,9,1106.6752,0.02,0.1,0.2,0.4,"LC","LC"
"96","FFd10",400.3505995,7,21,10,18,4,29.776,0.71,0.5,0.9,0.2,"LC","LC"
"97","FFd11",983.3356171,5,12,7,10,1,60.0188,0.2,0.6,0.8,0.1,"LC","LC"
"98","FFd2",5498.405133,47,93,29,57,44,756.9556,0.12,0.3,0.6,0.5,"LC","LC"
"99","FFd3",2228.450893,26,104,25,90,55,638.2968,0.16,0.2,0.9,0.5,"EN","VU"
"100","FFd4",2999.305885,26,211,68,198,134,330.844,0.64,0.3,0.9,0.6,"EN","VU"
"101","FFd5",1632.336265,12,202,70,188,112,88.866,2.27,0.3,0.9,0.6,"CR","EN"
"102","FFd6",1823.977395,9,154,48,143,54,51.4168,3,0.3,0.9,0.4,"CR","EN"
"103","FFd7",1247.806155,17,116,23,111,59,119.5484,0.97,0.2,1,0.5,"CR","EN"
"104","FFd8",858.792765,7,39,12,31,26,43.4192,0.9,0.3,0.8,0.7,"CR","EN"
"105","FFd9",2815.361154,27,75,24,66,25,264.1432,0.28,0.3,0.9,0.3,"EN","VU"
"106","FFf1",3002.170287,24,185,46,179,98,233.5072,0.79,0.2,1,0.5,"EN","VU"
"107","FFf2",108.751919,3,49,15,43,34,19.376,2.53,0.3,0.9,0.7,"CR","EN"
"108","FFg1",652.4491809,7,11,3,2,7,64.0224,0.17,0.3,0.2,0.6,"LC","LC"
"109","FFg2",2695.816694,26,172,79,164,91,279.5672,0.62,0.5,1,0.5,"EN","VU"
"110","FFg3",417.5633165,5,89,38,82,42,31.2132,2.85,0.4,0.9,0.5,"CR","EN"
"111","FFg4",161.5855108,3,3,1,2,1,14.1344,0.21,0.3,0.7,0.3,"LC","LC"
"112","FFg5",913.7123884,15,23,5,19,10,177.678,0.13,0.2,0.8,0.4,"LC","LC"
"113","FFh1",1717.98276,19,17,4,10,8,198.7996,0.09,0.2,0.6,0.5,"LC","LC"
"114","FFh10",2892.61647,29,2,0,2,1,277.9484,0.01,0,1,0.5,"LC","LC"
"115","FFh11",20.38625867,1,23,16,22,9,5.3668,4.29,0.7,1,0.4,"LC","LC"
"116","FFh2",436.1782593,10,4,0,0,3,101.2808,0.04,0,0,0.8,"LC","LC"
"117","FFh3",942.3442757,12,2,0,1,1,63.6852,0.03,0,0.5,0.5,"LC","LC"
"118","FFh4",3739.40539,26,75,38,68,42,203.6124,0.37,0.5,0.9,0.6,"EN","VU"
"119","FFh5",2187.982602,9,63,34,61,28,35.8028,1.76,0.5,1,0.4,"EN","EN"
"120","FFh6",1262.866847,12,75,29,71,33,67.108,1.12,0.4,0.9,0.4,"CR","EN"
"121","FFh7",1052.033663,13,68,20,61,36,148.176,0.46,0.3,0.9,0.5,"CR","EN"
"122","FFh8",2548.91743,15,12,1,7,3,144.4432,0.08,0.1,0.6,0.2,"LC","LC"
"123","FFh9",5140.617255,29,33,11,30,11,243.7668,0.14,0.3,0.9,0.3,"LC","LC"
"124","FFl1",1941.593189,19,126,18,123,40,257.4524,0.49,0.1,1,0.3,"CR","EN"
"125","FFl2",1679.06417,21,94,16,90,38,661.6104,0.14,0.2,1,0.4,"LC","LC"
"126","FFl3",2439.184831,26,67,15,66,22,622.3644,0.11,0.2,1,0.3,"LC","LC"
